MA-L,4CA74B,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,54055F,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,9067B5,Alcatel-Lucent,600-700 Mountain Ave. Murray Hiill NJ US 07974-0636 
MA-L,001D4C,Alcatel-Lucent,601 Data Dr. Plano TX US 75075 
MA-L,00A081,ALCATEL DATA NETWORKS,12502 SUNRISE VALLEY DRIVE RESTON VA US 22096 
MA-L,008021,Alcatel Canada Inc.,349 Terry Fox Drive Kanata Ontario CA K2K 2V6 
MA-L,6854ED,Alcatel-Lucent,777 E. Middlefield Rd Mountain View CA US 94043 
MA-L,3C8BCD,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,00164D,Alcatel-Lucent IPD,701 E. Middlefield RD. Mountain View CA US 94043 
MA-L,001AF0,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94943 
MA-L,AC9CE4,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,00233E,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
MA-L,6CBEE9,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
MA-L,0021AE,ALCATEL-LUCENT FRANCE - WTD,"7-9, Avenue Morane Saulnier VELIZY  FR 78141 "
MA-L,001C8E,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
MA-L,00113F,Alcatel DI,ZI lavoisier EU Normandie FR 76260 
MA-L,00089A,Alcatel Microelectronics,Excelsiorlaan 44-46 B-1930 Zavantem  BE  
MA-L,00D095,Alcatel-Lucent Enterprise,26801 West Agoura Road Calabasas CA US 91301 
MA-L,0020DA,Alcatel-Lucent Enterprise,26801 West Agoura Road CALABASAS CA US 91301 
MA-L,000772,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,E03005,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,0CA402,Alcatel-Lucent IPD,600 March Drive Kanata Ontario CA K2K2E6 
MA-L,A0F3E4,Alcatel-Lucent IPD,600 March Drive Kanata Ontario CA K2K2E6 
MA-L,E4A1E6,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,F4C613,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,885C47,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,040A83,Alcatel-Lucent,"Via Trento, 30 Vimenrcate MB IT 2059 "
MA-L,002135,ALCATEL-LUCENT,Ramirez de Prado 5 Madrid  ES 28045 
MA-L,000E86,Alcatel North America,2301 Sugar Bush Road Raleigh NC US 27612 
Registry,Assignment,Organization Name,Organization Address
MA-L,DC446D,"Allwinner Technology Co., Ltd","No.9 Technology Road 2, High-Tech Zone Zhuhai Guangdong CN 519085 "
Registry,Assignment,Organization Name,Organization Address
MA-L,608B0E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,88B291,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C42AD0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CCD281,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1040F3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,586B14,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BCB863,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,44E66E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C0E862,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F40616,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E4B2FB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4C569D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,38539C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,402619,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6CE85C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F83880,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1094BB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F86FC1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28FF3C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F099B6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,88E9FE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,38892C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,749EAF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,94BF2D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,40CBC0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C4618B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,08E689,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,DC56E7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5433CB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3408BC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1C36BB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3C2EFF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,24F677,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B0CA68,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C83C85,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8634D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A4E975,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3035AD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,844167,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9800C6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,AC1F74,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A85C2C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00DB70,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,245BA7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70F087,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B0702D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6C19C0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,2C3361,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,ECADB8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9801A7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,24F094,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,086D41,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E0C767,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,80ED2C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,AC61EA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,38B54D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1C5CF2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28ED6A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A4D18C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,241EEB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CC25EF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28CFE9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00A040,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3CD0F8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,680927,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6CC26B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,44D884,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,002608,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0026B0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0026BB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D49A20,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F81EDF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C82A14,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3C0754,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A4B197,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0B479,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1093E9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,442A60,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A4D1D2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28CFDA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,003065,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,001451,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,001E52,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0021E9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CC08E0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,045453,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F4F951,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C06394,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,18AF8F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C8B5B7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,90B21F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,30F7C5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,40B395,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,44FB42,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E88D28,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,949426,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,207D74,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F4F15A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C86F1D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,3090AB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,8C2DAA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,848506,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,98FE94,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D8004D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,64200C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C8334B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,64E682,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8E856,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D89695,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1499E2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B418D1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9C207B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B065BD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,542696,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,64A3CB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,903C92,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D81D72,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,341298,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70E72C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70ECE4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,68AE20,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,AC87A3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D8BB2C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D04F7E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,2078F0,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E0ACCB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A0999B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,24240E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0DBF8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,48746E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,54AE27,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,FCE998,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0CBC9F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,34363B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D0A637,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,789F70,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9CF387,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A85B78,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C8F650,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A88E24,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CC20E8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70480F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F0B0E7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0469F8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4070F5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B035B5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,800C67,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,90812A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B87BC5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,102959,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E47684,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F05CD5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70EA5A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B440A4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,48B8A3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F4DBE3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E8854B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28EC95,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E02B96,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,FC66CF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,AC1D06,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,44A8FC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F81093,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B456E3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,4C20B8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1488E6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B485E1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0C19F8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,501FC6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,540910,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9CFC28,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,CC69FA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,10CEE9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,FC4EA4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F4BEEC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,54E61B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F887F1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,305714,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C8B1CD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1460CB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8F12A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,804A14,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,703C69,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,14C213,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A4D931,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BCFED9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,808223,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,BCE143,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,647033,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,846878,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C8D083,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,6030D4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F895EA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,18F1D8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,30D9D9,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D0817A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,98CA33,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,68AB1E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,70EF00,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0C1539,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,D88F76,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,409C28,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,58E28F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,787B8A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,503237,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B0481A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B49CDF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,48BF6B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,9C84BF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00B362,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E4E4AB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,60334B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,FCD848,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A860B6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,C4B301,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E05F45,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,483B38,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,1C9148,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,30636B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,A4F1E8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,440010,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0056CD,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00CDFE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E498D6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,F431C3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,64A5C3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,002332,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00236C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0023DF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,002500,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0025BC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0019E3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,001B63,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,001EC2,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,001FF3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0010FA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,0050E4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,000D93,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,7CFADF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,78A3E4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,148FC6,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,286AB8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,28E02C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,E0B9BA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,00C610,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,B8F6B1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
